tube_radius, circle_radius, num_points, threshold_0.1, threshold_0.01, threshold_0.001, num_sketches
5, 50, 500, 1, 29, 122, 133
5, 50, 1000, 1, 33, 233, 272
5, 50, 2000, 1, 24, 397, 565
5, 100, 500, 1, 11, 111, 140
5, 100, 1000, 1, 9, 194, 287
5, 100, 2000, 1, 10, 288, 551
5, 200, 500, 1, 2, 47, 101
5, 200, 1000, 1, 2, 100, 241
5, 200, 2000, 1, 3, 153, 565
5, 300, 500, 1, 1, 21, 52
5, 300, 1000, 1, 1, 62, 218
5, 300, 2000, 1, 1, 89, 540
5, 500, 500, 1, 1, 8, 20
5, 500, 1000, 1, 1, 20, 121
5, 500, 2000, 1, 1, 34, 462
5, 1000, 500, 1, 1, 1, 6
5, 1000, 1000, 1, 1, 1, 47
5, 1000, 2000, 1, 1, 9, 279
10, 50, 500, 3, 65, 156, 163
10, 50, 1000, 3, 71, 258, 281
10, 50, 2000, 2, 57, 451, 547
10, 100, 500, 1, 30, 120, 129
10, 100, 1000, 1, 34, 239, 278
10, 100, 2000, 1, 23, 367, 565
10, 200, 500, 1, 9, 105, 129
10, 200, 1000, 1, 11, 196, 286
10, 200, 2000, 1, 9, 276, 561
10, 300, 500, 1, 4, 66, 101
10, 300, 1000, 1, 5, 144, 277
10, 300, 2000, 1, 5, 209, 554
10, 500, 500, 1, 1, 25, 56
10, 500, 1000, 1, 1, 78, 225
10, 500, 2000, 1, 2, 116, 542
10, 1000, 500, 1, 1, 7, 22
10, 1000, 1000, 1, 1, 23, 132
10, 1000, 2000, 1, 1, 37, 454
25, 50, 500, 19, 108, 127, 130
25, 50, 1000, 14, 179, 271, 277
25, 50, 2000, 7, 215, 527, 548
25, 100, 500, 6, 71, 144, 148
25, 100, 1000, 4, 86, 262, 275
25, 100, 2000, 3, 83, 481, 553
25, 200, 500, 1, 42, 130, 146
25, 200, 1000, 2, 41, 246, 284
25, 200, 2000, 2, 30, 392, 534
25, 300, 500, 1, 24, 136, 152
25, 300, 1000, 1, 22, 239, 278
25, 300, 2000, 1, 20, 356, 555
25, 500, 500, 1, 7, 102, 126
25, 500, 1000, 1, 11, 194, 288
25, 500, 2000, 1, 10, 294, 535
25, 1000, 500, 1, 1, 41, 77
25, 1000, 1000, 1, 2, 108, 240
25, 1000, 2000, 1, 3, 163, 534
50, 100, 500, 21, 103, 124, 127
50, 100, 1000, 12, 186, 287, 291
50, 100, 2000, 5, 220, 528, 556
50, 200, 500, 5, 85, 130, 134
50, 200, 1000, 3, 82, 268, 278
50, 200, 2000, 3, 72, 472, 545
50, 300, 500, 2, 56, 134, 139
50, 300, 1000, 2, 56, 247, 273
50, 300, 2000, 2, 42, 431, 556
50, 500, 500, 1, 32, 129, 137
50, 500, 1000, 1, 29, 225, 274
50, 500, 2000, 1, 22, 372, 531
50, 1000, 500, 1, 7, 93, 123
50, 1000, 1000, 1, 10, 193, 272
50, 1000, 2000, 1, 9, 285, 552
100, 200, 500, 18, 117, 138, 139
100, 200, 1000, 9, 178, 261, 269
100, 200, 2000, 8, 236, 532, 548
100, 300, 500, 6, 87, 121, 128
100, 300, 1000, 5, 118, 258, 278
100, 300, 2000, 4, 109, 502, 572
100, 500, 500, 3, 70, 145, 151
100, 500, 1000, 3, 73, 273, 290
100, 500, 2000, 3, 52, 449, 538
100, 1000, 500, 1, 31, 136, 146
100, 1000, 1000, 1, 28, 230, 276
100, 1000, 2000, 1, 26, 366, 548
